Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average
Andre Caldwell,WR,3000,GB@Den 08:30PM ET,1.283,Den,4.5,5.6,2.71,5.8,2.21,0.07,2.092,3.283142857
Dwayne Bowe,WR,3000,Ari@Cle 01:00PM ET,0,Cle,,1.4,,1.7,3.35,0.24,,1.6725
Tyler Clutts,RB,3000,Sea@Dal 04:25PM ET,0.233,Dal,,,1.68,,,0.02,,0.85
Harry Douglas,WR,3000,Ten@Hou 01:00PM ET,4.5,Ten,,,5.09,,,,,5.09
Eric Weems,WR,3000,TB@Atl 01:00PM ET,0,Atl,,,,,,2.27,1.142,1.706
Matthew Slater,WR,3000,Mia@NE 08:25PM ET,0,NE,,,,,,,,
Jerricho Cotchery,WR,3000,Ind@Car 08:30PM ET,5.75,Car,4,4.6,7.98,4.3,5.03,9.53,4.2722,5.673171429
Ahmad Bradshaw,RB,3000,Ind@Car 08:30PM ET,2.45,Ind,,,4.28,,5.93,3.08,3.176,4.1165
Cedric Peerman,RB,3000,Cin@Pit 01:00PM ET,0,Cin,,,,,,0.18,1.494,0.837
Jerome Simpson,WR,3000,SF@StL 01:00PM ET,0,SF,,,3.54,,2.13,0.33,,2
Mike Tolbert,RB,3000,Ind@Car 08:30PM ET,5.367,Car,3,4.3,6.35,4.8,4.93,5.67,4.565,4.802142857
Andrew Hawkins,WR,3000,Ari@Cle 01:00PM ET,6.1,Cle,6,8.1,5.94,,,,,6.68
Darrius Heyward-Bey,WR,3000,Cin@Pit 01:00PM ET,7.129,Pit,,9.2,5.73,8.6,2.21,4.1,,5.968
John Kuhn,RB,3000,GB@Den 08:30PM ET,2.033,GB,,0.4,2.82,0.3,1.11,0.93,1.712,1.212
Marlon Moore,WR,3000,Ari@Cle 01:00PM ET,0.417,Cle,,,,,,0.07,1.254,0.662
Brandon Tate,WR,3000,Cin@Pit 01:00PM ET,2.083,Cin,,,,,,1.6,3.544,2.572
Louis Murphy,WR,3000,TB@Atl 01:00PM ET,4.967,TB,,,,,,,,
Antone Smith,RB,3000,Min@Chi 01:00PM ET,0,Chi,,,,,,,1.959,1.959
Brian Hartline,WR,3000,Ari@Cle 01:00PM ET,3.857,Cle,4,5.6,6.99,5.8,7.96,9.55,6.135,6.576428571
Donald Brown,RB,3000,SD@Bal 01:00PM ET,0,SD,,,,,,0.07,,0.07
Jorvorskie Lane,RB,3000,TB@Atl 01:00PM ET,0,TB,,,,,,0.03,,0.03
Jordan Norwood,WR,3000,GB@Den 08:30PM ET,3.167,Den,,3.8,3.53,3.9,4.14,7.81,3.872,4.508666667
Marcel Reece,RB,3000,NYJ@Oak 04:05PM ET,8.9,Oak,3,1.6,7.08,2,5.79,4.85,2.509,3.832714286
Bruce Miller,RB,3000,SF@StL 01:00PM ET,2.557,SF,,,3.82,,,1,1.113,1.977666667
Marc Mariani,WR,3000,Min@Chi 01:00PM ET,0,Chi,,,,,,,,
Jacoby Jones,WR,3000,SD@Bal 01:00PM ET,0,SD,,7,,6.6,,0.26,,4.62
Fred Jackson,RB,3000,Sea@Dal 04:25PM ET,5.814,Sea,2.5,2.6,,2.7,5.33,4.26,3.807,3.532833333
Jeremy Ross,WR,3000,SD@Bal 01:00PM ET,3.967,Bal,,,,,2.14,,1.061,1.6005
Chase Reynolds,RB,3000,SF@StL 01:00PM ET,0,StL,,,,,,0.04,,0.04
C.J. Spiller,RB,3000,NYG@NO 01:00PM ET,8.467,NO,3.5,13.3,10.12,13.4,11.21,5.63,4.855,8.859285714
Fozzy Whittaker,RB,3000,Ind@Car 08:30PM ET,1.917,Car,,5.9,3.95,6.5,2.32,0.49,1.475,3.439166667
Matt Asiata,RB,3000,Min@Chi 01:00PM ET,2.8,Min,,3.4,3.8,3.6,2.79,3.49,1.481,3.0935
Taiwan Jones,RB,3000,NYJ@Oak 04:05PM ET,3.525,Oak,,,3.81,,2.98,1.42,2.391,2.65025
Charles Johnson,WR,3000,Min@Chi 01:00PM ET,3.425,Min,5,7.3,5.33,6.7,3.05,0.53,5.504,4.773428571
Brian Quick,WR,3000,SF@StL 01:00PM ET,0.667,StL,,6.4,5.71,6.2,5.11,3.97,5.433,5.4705
Dontrelle Inman,WR,3000,SD@Bal 01:00PM ET,4.533,SD,,3.4,,3.7,1.24,4.74,2.469,3.1098
Greg Little,WR,3000,Cin@Pit 01:00PM ET,0,Cin,,,,,,,,
Jeremy Kerley,WR,3000,NYJ@Oak 04:05PM ET,4.5,NYJ,4.5,8.6,6.49,8.4,7.72,7,3.705,6.630714286
Anthony Sherman,RB,3000,Det@KC 09:30AM ET,0.471,KC,,,1.93,,1.62,0.03,1.196,1.194
Will Tukuafu,RB,3000,Sea@Dal 04:25PM ET,0,Sea,,,,,,,,
Robert Turbin,RB,3000,Ari@Cle 01:00PM ET,4.25,Cle,,4.1,3.77,3.8,3.82,2.26,7.081,4.1385
Bilal Powell,RB,3000,NYJ@Oak 04:05PM ET,7.36,NYJ,,,3.76,,,,,3.76
Will Johnson,RB,3000,Cin@Pit 01:00PM ET,0.957,Pit,,,3.33,,,0.14,1.695,1.721666667
Bobby Rainey,RB,3000,TB@Atl 01:00PM ET,0.933,TB,,5,,5.4,,0.08,1.734,3.0535
Roy Helu Jr.,RB,3000,NYJ@Oak 04:05PM ET,3.76,Oak,,5.5,6.29,5.6,2.13,0.04,2.987,3.757833333
Patrick DiMarco,RB,3000,TB@Atl 01:00PM ET,1.157,Atl,,,1.75,,,0.15,1.268,1.056
George Winn,RB,3000,Det@KC 09:30AM ET,0,Det,,,,,,,1.123,1.123
Austin Johnson,RB,3000,NYG@NO 01:00PM ET,1.88,NO,,,2.97,,,,,2.97
Chris Polk,RB,3000,Ten@Hou 01:00PM ET,5.457,Hou,8,1.7,7.9,2.3,9.16,4.17,9.3204,6.078628571
Jarryd Hayne,RB,3000,SF@StL 01:00PM ET,0.533,SF,,0.5,,0.5,1.2,1.4,4.898,1.6996
Brice Butler,WR,3000,Sea@Dal 04:25PM ET,3.45,Dal,,,,,,0.01,2.513,1.2615
Cole Beasley,WR,3000,Sea@Dal 04:25PM ET,6.9,Dal,6.5,4.2,5.41,4.1,3.78,5.56,4.019,4.795571429
Zach Line,RB,3000,Min@Chi 01:00PM ET,3.267,Min,,,3.96,,,0.03,,1.995
Chris Owusu,WR,3000,NYJ@Oak 04:05PM ET,4.667,NYJ,,,4.81,,,,,4.81
Griff Whalen,WR,3000,Ind@Car 08:30PM ET,1.8,Ind,,,,,2.77,2.89,,2.83
Brenton Bersin,WR,3000,Ind@Car 08:30PM ET,2.925,Car,,,,,,,,
Derrick Coleman,RB,3000,Sea@Dal 04:25PM ET,0.24,Sea,,,1.43,,,0.03,,0.73
Jonathan Grimes,RB,3000,Ten@Hou 01:00PM ET,4.5,Hou,,0.8,8.11,0.6,6.29,2.32,1.631,3.291833333
Frankie Hammond Jr.,WR,3000,Det@KC 09:30AM ET,0,KC,,,,,,,,
Jaron Brown,WR,3000,Ari@Cle 01:00PM ET,2.3,Ari,,,3.83,,,9.67,,6.75
Chris Givens,WR,3000,SD@Bal 01:00PM ET,1.9,Bal,,7.4,4.65,6.7,2.54,3.02,,4.862
Keshawn Martin,WR,3000,Mia@NE 08:25PM ET,7.167,NE,,,,,,,,
Myles White,WR,3000,NYG@NO 01:00PM ET,0,NYG,,,,,,,,
B.J. Daniels,WR,3000,Sea@Dal 04:25PM ET,0.55,Sea,,,,,,,,
Jordan Todman,RB,3000,Cin@Pit 01:00PM ET,0.157,Pit,,,,,,,,
Jarius Wright,WR,3000,Min@Chi 01:00PM ET,5.017,Min,,7.8,6.46,7.2,5.08,6.35,2.824,5.952333333
Brandon Bolden,RB,3000,Mia@NE 08:25PM ET,0.72,NE,,2.7,,3.2,,,,2.95
Ladarius Green,TE,3000,SD@Bal 01:00PM ET,14.067,SD,18.5,14.4,10.92,14.2,10.66,10.35,8.965,12.57071429
Jonas Gray,RB,3000,Mia@NE 08:25PM ET,4.075,Mia,,2.7,3.29,2.5,,1.93,2.3,2.544
Kyle Rudolph,TE,3000,Min@Chi 01:00PM ET,8.05,Min,4,12.2,7.99,12.1,6.61,9.76,8.557,8.745285714
Russell Shepard,WR,3000,TB@Atl 01:00PM ET,0.533,TB,,,5.53,,3.84,10.03,,6.466666667
Zurlon Tipton,RB,3000,Ind@Car 08:30PM ET,0.225,Ind,,,,,,,,
Tommy Bohanon,RB,3000,NYJ@Oak 04:05PM ET,0.967,NYJ,,,2.38,,,0.21,,1.295
Markus Wheaton,WR,3000,Cin@Pit 01:00PM ET,6.457,Pit,5,3.7,5.69,2.9,8.28,9.55,4.232,5.621714286
Rex Burkhead,RB,3000,Cin@Pit 01:00PM ET,1.283,Cin,,,,,,1.13,,1.13
Benny Cunningham,RB,3000,SF@StL 01:00PM ET,6.583,StL,6.5,5.1,4.84,5.2,8.18,6.9,5.761,6.068714286
Nikita Whitlock,RB,3000,NYG@NO 01:00PM ET,0,NYG,,,,,,,,
Kyle Juszczyk,RB,3000,SD@Bal 01:00PM ET,5.714,Bal,,,4.91,,3.53,4.65,1.831,3.73025
Stepfan Taylor,RB,3000,Ari@Cle 01:00PM ET,0.357,Ari,,2.2,,2.6,,0.03,1.868,1.6745
Zac Stacy,RB,3000,NYJ@Oak 04:05PM ET,4.94,NYJ,5.5,5.5,7.39,6.2,7.57,4.26,4.0746,5.784942857
Branden Oliver,RB,3000,SD@Bal 01:00PM ET,4.229,SD,2,6.1,7.41,7.2,5.96,7.48,3.612,5.680285714
Dri Archer,WR,3000,Cin@Pit 01:00PM ET,0,Pit,,4.4,,5.1,,0.07,1.792,2.8405
Rico Richardson,WR,3000,Ten@Hou 01:00PM ET,0,Ten,,,,,,,,
Brandon Wegher,RB,3000,Ind@Car 08:30PM ET,0,Car,,,,,,,,
Kevin Norwood,WR,3000,Ind@Car 08:30PM ET,0,Car,,,,,,0.48,,0.48
Trey Watts,RB,3000,SF@StL 01:00PM ET,0,StL,,,,,,0.01,,0.01
Ricardo Lockette,WR,3000,Sea@Dal 04:25PM ET,2.229,Sea,,3.3,,2.7,,0.38,3.391,2.44275
Christine Michael,RB,3000,Sea@Dal 04:25PM ET,1.167,Dal,2.5,3.9,5.28,4.6,6.17,3.88,5.805,4.590714286
Bennie Fowler,WR,3000,GB@Den 08:30PM ET,2.95,Den,,,2.85,,2.21,0.94,5.185,2.79625
Jared Abbrederis,WR,3000,GB@Den 08:30PM ET,0,GB,,,,,,,1.079,1.079
Nick Williams,WR,3000,TB@Atl 01:00PM ET,2.686,Atl,,,,,5.11,11.18,4.184,6.824666667
Devin Street,WR,3000,Sea@Dal 04:25PM ET,2.433,Dal,4,,,,,1.08,2.274,2.451333333
Marlon Brown,WR,3000,SD@Bal 01:00PM ET,3.371,Bal,4,7,4.02,6.5,6.03,8.62,3.645,5.687857143
Chris Matthews,WR,3000,Sea@Dal 04:25PM ET,1.343,Sea,,2.6,4.39,3.3,,3.03,4.1272,3.48944
Aaron Dobson,WR,3000,Mia@NE 08:25PM ET,5.725,NE,,4.8,,4.4,,2.09,2.662,3.488
Stedman Bailey,WR,3000,SF@StL 01:00PM ET,5.483,StL,4,5.2,5.75,4.7,4.8,10.3,3.737,5.498142857
Spencer Ware,RB,3000,Det@KC 09:30AM ET,0.4,KC,,,,,1.24,,1.384,1.312
Justin Hunter,WR,3000,Ten@Hou 01:00PM ET,5.217,Ten,7,5.6,4.71,4.8,9.34,10.83,6.797,7.011
Kenny Stills,WR,3000,Mia@NE 08:25PM ET,5.117,Mia,4.5,7.6,5.56,6.8,7.12,2.77,3.992,5.477428571
Jay Prosch,RB,3000,Ten@Hou 01:00PM ET,0.4,Hou,,,,,,0.02,1.099,0.5595
Jalston Fowler,RB,3000,Ten@Hou 01:00PM ET,1.683,Ten,,,1.94,,,0.03,,0.985
TJ Jones,WR,3000,Det@KC 09:30AM ET,0.16,Det,,,,,,0.2,,0.2
Kenbrell Thompkins,WR,3000,NYJ@Oak 04:05PM ET,0,NYJ,,,,,2.36,,1.064,1.712
Roosevelt Nix,RB,3000,Cin@Pit 01:00PM ET,0,Pit,,,,,,,,
Rod Streater,WR,3000,NYJ@Oak 04:05PM ET,1.8,Oak,,3.6,4.69,2.8,,0.67,,2.94
Marcus Murphy,RB,3000,NYG@NO 01:00PM ET,0.857,NO,,,,,,0.02,,0.02
Andre Williams,RB,3000,NYG@NO 01:00PM ET,3.143,NYG,,3.4,5.57,4,2.72,6.13,5.161,4.496833333
Rod Smith,RB,3000,Sea@Dal 04:25PM ET,0.5,Dal,,,,,,,,
Joshua Bellamy,WR,3000,Min@Chi 01:00PM ET,3.483,Chi,,,,,,0.02,3.569,1.7945
Walt Powell,WR,3000,NYJ@Oak 04:05PM ET,0,Oak,,,,,,,,
Malcolm Johnson,RB,3000,Ari@Cle 01:00PM ET,0.629,Cle,,,,,,0.04,1.544,0.792
Juwan Thompson,RB,3000,GB@Den 08:30PM ET,0.74,Den,,0.7,3.89,0.6,,0.18,1.842,1.4424
James White,RB,3000,Mia@NE 08:25PM ET,2.68,NE,,5.8,,6.8,,0.27,2.021,3.72275
Brandon Coleman,WR,3000,NYG@NO 01:00PM ET,4.243,NO,4,6.8,6.24,6.4,3.09,2.84,3.796,4.738
Michael Burton,RB,3000,Det@KC 09:30AM ET,0.443,Det,,,,,,,1.453,1.453
Albert Wilson,WR,3000,Det@KC 09:30AM ET,6.06,KC,6.5,1.8,6.76,1.9,5.68,6.53,6.252,5.060285714
DeAndrew White,WR,3000,SF@StL 01:00PM ET,1.267,SF,,,,,,,,
Matt Hazel,WR,3000,Mia@NE 08:25PM ET,0,Mia,,,,,,,,
Keith Mumphery,WR,3000,Ten@Hou 01:00PM ET,3.657,Hou,2.5,3.2,,3.6,7.21,5.63,4.583,4.453833333
Jeremy Langford,RB,3000,Min@Chi 01:00PM ET,3.417,Chi,2.5,5.3,5.12,5.9,3.63,3.36,5.093,4.414714286
Justin Hardy,WR,3000,TB@Atl 01:00PM ET,0,Atl,4.5,1.6,3.68,1.8,5.1,3.1,1.227,3.001
J.J. Nelson,WR,3000,Ari@Cle 01:00PM ET,-0.333,Ari,,1.6,,1.8,,3.09,,2.163333333
Cecil Shorts III,WR,3000,Ten@Hou 01:00PM ET,12.18,Hou,,,,,,,,
Andre Holmes,WR,3000,NYJ@Oak 04:05PM ET,2.55,Oak,,3.2,3.34,2.6,1.61,3.85,3.035,2.939166667
Corey Fuller,WR,3000,Det@KC 09:30AM ET,1.35,Det,,,4.03,,,0.97,1.117,2.039
Geremy Davis,WR,3000,NYG@NO 01:00PM ET,0.586,NYG,,,,,,0.18,,0.18
Jamize Olawale,RB,3000,NYJ@Oak 04:05PM ET,1.775,Oak,,,,,,,,
Cameron Meredith,WR,3000,Min@Chi 01:00PM ET,3.5,Chi,,,6.83,,,0.06,1.103,2.664333333
Jerick McKinnon,RB,3000,Min@Chi 01:00PM ET,2.117,Min,2.5,3.2,2.22,3.3,3.18,2.46,4.945,3.115
Corey Brown,WR,3000,Ind@Car 08:30PM ET,5.5,Car,,6.4,4.68,5.4,6.43,3.5,,5.282
Terrence Magee,RB,3000,SD@Bal 01:00PM ET,0,Bal,,,,,,,,
Terron Ward,RB,3000,TB@Atl 01:00PM ET,3.043,Atl,,2.6,,2.9,1.35,,2.659,2.37725
Chris Conley,WR,3000,Det@KC 09:30AM ET,4.914,KC,4.5,1.4,3.57,1.7,7.1,3.99,4.184,3.777714286
Quinton Patton,WR,3000,SF@StL 01:00PM ET,4.443,SF,4,,3.36,,2.04,4.11,2.813,3.2646
Sammie Coates,WR,3000,Cin@Pit 01:00PM ET,0.42,Pit,,1.6,,1.8,,0.01,2.177,1.39675
Ka'Deem Carey,RB,3000,Min@Chi 01:00PM ET,0,Chi,,3.1,,3.4,,0.22,2.371,2.27275
Terrance West,RB,3000,Ten@Hou 01:00PM ET,1.55,Ten,,1.2,,1,,0.19,1.154,0.886
Phillip Dorsett,WR,3000,Ind@Car 08:30PM ET,4.729,Ind,,,,,,,,
Darren Waller,WR,3000,SD@Bal 01:00PM ET,0.633,Bal,,,,,,,,
DeVante Parker,WR,3000,Mia@NE 08:25PM ET,1.483,Mia,2,3,3.06,2.5,2.29,0.39,3.339,2.368428571
Alonzo Harris,RB,3000,GB@Den 08:30PM ET,0.567,GB,,,,,,,,
Bruce Ellington,WR,3000,SF@StL 01:00PM ET,2.1,SF,,2.7,2.93,2.4,,2.27,,2.575
Tyler Lockett,WR,3000,Sea@Dal 04:25PM ET,7.971,Sea,8.5,3.5,7.9,3.8,7.85,6.87,4.496,6.130857143
Aaron Ripkowski,RB,3000,GB@Den 08:30PM ET,0,GB,,,,,,,,
Bradley Marquez,WR,3000,SF@StL 01:00PM ET,0,StL,,,,,,,,
Devin Smith,WR,3000,NYJ@Oak 04:05PM ET,3,NYJ,,,3.43,,,,,3.43
Raheem Mostert,RB,3000,SD@Bal 01:00PM ET,0,Bal,,,,,,,1.056,1.056
Josh Robinson,RB,3000,Ind@Car 08:30PM ET,2.44,Ind,,2.1,3.32,2.9,,0.06,1.139,1.9038
Richard Rodgers,TE,3000,GB@Den 08:30PM ET,9.167,GB,8,16,5.96,16,7.99,7.67,7.099,9.817
De'Anthony Thomas,WR,3000,Det@KC 09:30AM ET,3.543,KC,4,7.5,4.3,8.9,3.19,8,3.8608,5.678685714
Cody Latimer,WR,3000,GB@Den 08:30PM ET,0,Den,,1.6,,1.8,,,,1.7
Brittan Golden,WR,3000,Ari@Cle 01:00PM ET,0,Ari,,,,,,,,
Cordarrelle Patterson,WR,3000,Min@Chi 01:00PM ET,0.65,Min,,6.1,,5.6,,0.03,,3.91
Damien Williams,RB,3000,Mia@NE 08:25PM ET,3.5,Mia,,1.9,4.78,2.4,3,0.47,2.444,2.499
Mike Davis,RB,3000,SF@StL 01:00PM ET,1.475,SF,,,8.75,,4.96,,5.844,6.518
Devin Funchess,WR,3000,Ind@Car 08:30PM ET,2.367,Car,4,5.4,5.86,4.7,5.45,6.79,2.96,5.022857143
Seth Roberts,WR,3000,NYJ@Oak 04:05PM ET,4.767,Oak,,,4.3,,3.48,8.54,,5.44
Cameron Artis-Payne,RB,3000,Ind@Car 08:30PM ET,0.775,Car,,2,,2.6,,2.06,,2.22
Lucky Whitehead,WR,3000,Sea@Dal 04:25PM ET,0.84,Dal,,,,,,,,
Jaelen Strong,WR,3000,Ten@Hou 01:00PM ET,6.933,Hou,,7.8,9.19,6.9,2.88,3.55,4.641,5.826833333
Adam Thielen,WR,3000,Min@Chi 01:00PM ET,3.433,Min,,,,,,2.68,,2.68
Khiry Robinson,RB,3000,NYG@NO 01:00PM ET,9.543,NO,1.5,11.3,7.68,11.5,8.62,5.15,7.632,7.626
Mario Alford,WR,3000,Cin@Pit 01:00PM ET,0,Cin,,,,,,,,
Taylor Gabriel,WR,3000,Ari@Cle 01:00PM ET,5.171,Cle,4,3.6,5.09,3.8,8.53,10.19,4.392,5.657428571
Donteea Dye,WR,3000,TB@Atl 01:00PM ET,3.85,TB,5,,7.2,,7.35,4.95,6.68,6.236
Broncos ,DST,2900,GB@Den 08:30PM ET,17.167,Den,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Jets ,DST,2900,NYJ@Oak 04:05PM ET,8.333,NYJ,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Vernon Davis,TE,2900,SF@StL 01:00PM ET,5.8,SF,6,6.6,8.98,6.3,7.85,5.71,7.154,6.942
Chiefs ,DST,2800,Det@KC 09:30AM ET,6.286,KC,6,6,6,6,6,6,6,6
Coby Fleener,TE,2800,Ind@Car 08:30PM ET,7.357,Ind,4.5,5.6,7.83,5.8,7.35,8.49,9.071,6.948714286
Austin Seferian-Jenkins,TE,2800,TB@Atl 01:00PM ET,17.95,TB,,17.4,10.62,16.7,,8.78,,13.375
Cowboys ,DST,2700,Sea@Dal 04:25PM ET,4.5,Dal,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Dolphins ,DST,2700,Mia@NE 08:25PM ET,8.167,Mia,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Giants ,DST,2700,NYG@NO 01:00PM ET,9.714,NYG,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Heath Miller,TE,2700,Cin@Pit 01:00PM ET,5.971,Pit,8,10.6,6.52,11.3,9.94,11.35,7.701,9.344428571
Jacob Tamme,TE,2700,TB@Atl 01:00PM ET,8.1,Atl,6,1.6,6.52,1.8,7.97,12.39,7.536,6.259428571
Lions ,DST,2600,Det@KC 09:30AM ET,7.143,Det,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
Steelers ,DST,2600,Cin@Pit 01:00PM ET,7.857,Pit,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Owen Daniels,TE,2600,GB@Den 08:30PM ET,5.75,Den,6.5,11.8,6.53,11.9,8.66,9.17,5.777,8.619571429
Jared Cook,TE,2600,SF@StL 01:00PM ET,5.8,StL,7.5,4.8,7.38,4.4,8.36,11.89,5.907,7.176714286
Clive Walford,TE,2600,NYJ@Oak 04:05PM ET,3.167,Oak,2,1.4,2.31,1.7,3.21,3.16,3.045,2.403571429
Titans ,DST,2500,Ten@Hou 01:00PM ET,7,Ten,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
Mike Leach,TE,2500,Ari@Cle 01:00PM ET,0,Ari,,,,,,,,
Craig Stevens,TE,2500,Ten@Hou 01:00PM ET,1.383,Ten,,,,,,0.17,2.722,1.446
Scott Chandler,TE,2500,Mia@NE 08:25PM ET,4.7,NE,2,6.8,3.9,6.4,4.42,3.75,4.079,4.478428571
Matt Spaeth,TE,2500,Cin@Pit 01:00PM ET,0,Pit,,,,,,,2.228,2.228
Clark Harris,TE,2500,Cin@Pit 01:00PM ET,0,Cin,,,,,,,,
Anthony Fasano,TE,2500,Ten@Hou 01:00PM ET,5.5,Ten,,4.6,3.42,4.3,5.92,3.62,4.433,4.382166667
Zach Miller,TE,2500,Min@Chi 01:00PM ET,1.083,Chi,,,,1.8,,0.04,,0.92
Brandon Pettigrew,TE,2500,Det@KC 09:30AM ET,2.95,Det,,,3.9,,,0.16,2.256,2.105333333
Kellen Davis,TE,2500,NYJ@Oak 04:05PM ET,0,NYJ,,,4.31,,,0.03,,2.17
Brandon Myers,TE,2500,TB@Atl 01:00PM ET,2,TB,4,2.4,4.5,3.2,5.96,5.38,4.882,4.331714286
Darren Fells,TE,2500,Ari@Cle 01:00PM ET,5.933,Ari,,,5.24,,,,,5.24
Tony Moeaki,TE,2500,TB@Atl 01:00PM ET,0.7,Atl,,,,,,,2.749,2.749
David Johnson,TE,2500,SD@Bal 01:00PM ET,0.029,SD,6.5,7.4,5.66,7.6,5.72,3.96,7.5238,6.337685714
Ed Dickson,TE,2500,Ind@Car 08:30PM ET,3.217,Car,2,4,4.02,4,3.42,4.81,3.31,3.651428571
Garrett Graham,TE,2500,Ten@Hou 01:00PM ET,1.857,Hou,4.5,5.6,5.79,5.8,5.24,3.43,2.677,4.719571429
Andrew DePaola,TE,2500,TB@Atl 01:00PM ET,0,TB,,,,,,,,
Jim Dray,TE,2500,Ari@Cle 01:00PM ET,1,Cle,,,4.1,,2.47,0.54,,2.37
Virgil Green,TE,2500,GB@Den 08:30PM ET,2.133,Den,,4.2,3.85,4.1,,2.49,2.908,3.5096
John Phillips,TE,2500,SD@Bal 01:00PM ET,2.3,SD,,,5.86,,2.11,0.05,,2.673333333
Richard Gordon,TE,2500,GB@Den 08:30PM ET,0,Den,,,,,,,,
Rob Housler,TE,2500,Ari@Cle 01:00PM ET,0.267,Cle,,1.4,4.1,,,,1.569,2.356333333
Kyle Nelson,TE,2500,SF@StL 01:00PM ET,0,SF,,,,,,,,
Lance Kendricks,TE,2500,SF@StL 01:00PM ET,4.3,StL,2,2.6,5.89,2.3,5.17,,3.939,3.649833333
Jermaine Gresham,TE,2500,Ari@Cle 01:00PM ET,2.9,Ari,6,3.8,3.7,3.9,5.01,5.33,2.913,4.379
Jeff Cumberland,TE,2500,NYJ@Oak 04:05PM ET,1.12,NYJ,1.5,2.8,,2.4,3.4,7.4,2.221,3.286833333
Michael Hoomanawanui,TE,2500,NYG@NO 01:00PM ET,3.1,NO,,,,,2.55,,1.708,2.129
Lee Smith,TE,2500,NYJ@Oak 04:05PM ET,1.483,Oak,,,3.19,,2.13,0.77,,2.03
Luke Stocker,TE,2500,TB@Atl 01:00PM ET,1.3,TB,,,,,2.52,0.18,,1.35
Rhett Ellison,TE,2500,Min@Chi 01:00PM ET,0.567,Min,,,4.12,,,,2.221,3.1705
Garrett Celek,TE,2500,SF@StL 01:00PM ET,4.986,SF,4,2.6,4.68,3.3,2.96,3.37,,3.485
James Hanna,TE,2500,Sea@Dal 04:25PM ET,0.825,Dal,,,,,,0.4,,0.4
Jake Stoneburner,TE,2500,Mia@NE 08:25PM ET,5.425,Mia,,,5.71,,,,,5.71
Mychal Rivera,TE,2500,NYJ@Oak 04:05PM ET,3.083,Oak,4,6,4.01,6,5.32,4.66,5.003,4.999
Cory Harkey,TE,2500,SF@StL 01:00PM ET,0.467,StL,,,,,,0.62,,0.62
Beau Brinkley,TE,2500,Ten@Hou 01:00PM ET,0,Ten,,,,,,,,
Dwayne Allen,TE,2500,Ind@Car 08:30PM ET,4.22,Ind,4.5,5,5.24,4.5,5.32,5.6,3.895,4.865
Kevin McDermott,TE,2500,Min@Chi 01:00PM ET,0,Min,,,,,,,,
Tim Wright,TE,2500,Det@KC 09:30AM ET,3.467,Det,2,,,,,0.61,,1.305
Michael Williams,TE,2500,Mia@NE 08:25PM ET,0.65,NE,,,,,,0.02,,0.02
Luke Willson,TE,2500,Sea@Dal 04:25PM ET,2.567,Sea,4,3,4.88,3.5,2.96,3.35,3.168,3.551142857
Josh Hill,TE,2500,NYG@NO 01:00PM ET,2.729,NO,2,1.4,6.2,1.7,4.77,3.32,3.802,3.313142857
James Winchester,TE,2500,Det@KC 09:30AM ET,0,KC,,,,,,,,
Jack Doyle,TE,2500,Ind@Car 08:30PM ET,1.414,Ind,,,,,1.06,0.04,,0.55
Vance McDonald,TE,2500,SF@StL 01:00PM ET,1.533,SF,,,2.19,,1.29,,1.626,1.702
Justin Perillo,TE,2500,GB@Den 08:30PM ET,3.1,GB,,,,,,,,
Ryan Hewitt,TE,2500,Cin@Pit 01:00PM ET,0.433,Cin,,,2.49,,,1.11,,1.8
Levine Toilolo,TE,2500,TB@Atl 01:00PM ET,1.257,Atl,,4.6,5.84,5.3,,0.22,2.799,3.7518
Justice Cunningham,TE,2500,SF@StL 01:00PM ET,0,StL,,,,,,,,
Gavin Escobar,TE,2500,Sea@Dal 04:25PM ET,1.9,Dal,2,4.6,4.12,4.3,2.36,2.48,2.822,3.240285714
Dion Sims,TE,2500,Mia@NE 08:25PM ET,4.667,Mia,,1.6,3.63,1.8,5.15,3.45,2.785,3.069166667
Brandon Williams,TE,2500,Mia@NE 08:25PM ET,0,Mia,,,,,,,,
Cooper Helfet,TE,2500,Sea@Dal 04:25PM ET,0,Sea,,,,,,,,
Crockett Gillmore,TE,2500,SD@Bal 01:00PM ET,10.68,Bal,6.5,2.8,7.97,2.4,7.75,6.43,8.958,6.115428571
Blake Bell,TE,2500,SF@StL 01:00PM ET,0.783,SF,,,,,,,,
James O'Shaughnessy,TE,2500,Det@KC 09:30AM ET,2.1,KC,,,3.62,,2.6,2.12,4.479,3.20475
MyCole Pruitt,TE,2500,Min@Chi 01:00PM ET,0.383,Min,,1.4,,1.7,,,,1.55
Cameron Brate,TE,2500,TB@Atl 01:00PM ET,0.825,TB,,,,,,,,
Will Tye,TE,2500,NYG@NO 01:00PM ET,3.25,NYG,,,,,4.02,,,4.02
